bib_id	sequence	mrcfield	dz	rawfield
8746058	X36	650	http://id.worldcat.org/fast/fst01072733	=650  \7$aPost-communism$xEconomic aspects.$2fast$0http://id.worldcat.org/fast/fst01072733
9707547	X33	710	http://viaf.org/viaf/134857252	=710  2\$aBritish Museum,$ehost institution.$0http://id.loc.gov/authorities/names/n79107735$0http://viaf.org/viaf/134857252
5933427	X36	651	http://id.loc.gov/authorities/names/n80125931	=651  \7$aGermany$2fast$0http://id.worldcat.org/fast/fst01210272$0http://id.loc.gov/authorities/names/n80125931
5708770	X17	100	http://id.loc.gov/authorities/names/n88265310	=100  1\$aBilinkoff, Jodi,$d1955-$0http://id.loc.gov/authorities/names/n88265310$0http://viaf.org/viaf/111152796
7729397	X28	651	http://id.loc.gov/authorities/subjects/sh85056605	=651  \7$aGreat Britain$2fast$0http://id.worldcat.org/fast/fst01204623$0http://id.loc.gov/authorities/subjects/sh85056605
9707547	X15	100	http://viaf.org/viaf/169613507	=100  1\$aBooms, Dirk,$eauthor.$0http://id.loc.gov/authorities/names/no2014025659$0http://viaf.org/viaf/169613507
8902024	X32	650	http://id.worldcat.org/fast/fst00871028	=650  \7$aCommunity life.$2fast$0http://id.worldcat.org/fast/fst00871028
9116318	X32	650	http://id.worldcat.org/fast/fst00890123	=650  \7$aDemocratization$2fast$0http://id.worldcat.org/fast/fst00890123
7540320	X28	650	http://id.worldcat.org/fast/fst00943538	=650  \7$aGlobalization$xPolitical aspects$2fast$0http://id.worldcat.org/fast/fst00943538
9928612	X28	650	http://id.loc.gov/authorities/subjects/sh2008124203	=650  \0$aIslam$xEconomic aspects$zIndonesia.$0http://id.loc.gov/authorities/subjects/sh2008124203
8746014	X27	610	http://viaf.org/viaf/304447991	=610  20$aKirk (Destroyer escort)$0http://id.loc.gov/authorities/names/no2013069120$0http://viaf.org/viaf/304447991
8868803	X27	600	http://viaf.org/viaf/309853341	=600  10$aHanson, John,$d1517-1599$xNotebooks, sketchbooks, etc.$0http://id.loc.gov/authorities/names/no2014097963$0http://viaf.org/viaf/309853341
9710209	X36	650	http://id.worldcat.org/fast/fst00916005	=650  \7$aEthnic relations.$2fast$0http://id.worldcat.org/fast/fst00916005
7565504	X32	651	http://id.worldcat.org/fast/fst01205288	=651  \7$aSingapore$2fast$0http://id.worldcat.org/fast/fst01205288$0http://id.loc.gov/authorities/names/n79059023
6819281	X30	650	http://id.worldcat.org/fast/fst00971609	=650  \7$aIndustrial relations$2fast$0http://id.worldcat.org/fast/fst00971609
6791908	X41	651	http://id.worldcat.org/fast/fst01245064	=651  \7$aEurope$2fast$0http://id.worldcat.org/fast/fst01245064$0http://id.loc.gov/authorities/subjects/sh85045631
8753318	X37	651	http://id.loc.gov/authorities/names/n80083633	=651  \7$aIndonesia.$2fast$0http://id.worldcat.org/fast/fst01209242$0http://id.loc.gov/authorities/names/n80083633
9450178	X41	651	http://id.loc.gov/authorities/names/n78095330	=651  \7$aUnited States.$2fast$0http://id.worldcat.org/fast/fst01204155$0http://id.loc.gov/authorities/names/n78095330
6711640	X32	651	http://id.loc.gov/authorities/subjects/sh85125849	=651  \0$aSoviet Union$xPolitics and government$y1953-1985.$0http://id.loc.gov/authorities/subjects/sh85125849
8205159	X32	650	http://id.worldcat.org/fast/fst01907412	=650  \7$aDiplomatic relations$2fast$0http://id.worldcat.org/fast/fst01907412
8382321	X30	600	http://id.loc.gov/authorities/names/no95049848	=600  10$aBush, George W.$q(George Walker),$d1946-$0http://id.loc.gov/authorities/names/no95049848$0http://viaf.org/viaf/71559485
7862365	X31	651	http://id.worldcat.org/fast/fst01208380	=651  \7$aGreece$2fast$0http://id.worldcat.org/fast/fst01208380$0http://id.loc.gov/authorities/names/n80046090
9794925	X29	650	http://id.worldcat.org/fast/fst00916013	=650  \7$aEthnic relations$xPolitical aspects.$2fast$0http://id.worldcat.org/fast/fst00916013
6026373	X24	650	http://id.worldcat.org/fast/fst01903362	=650  \7$aGlobalization in motion pictures$2fast$0http://id.worldcat.org/fast/fst01903362
9998783	X41	700	http://viaf.org/viaf/46494638	=700  1\$aWells, Allison Childs,$eauthor.$0http://id.loc.gov/authorities/names/no2005050173$0http://viaf.org/viaf/46494638
8052783	X31	650	http://id.worldcat.org/fast/fst00976908	=650  \7$aInternational economic relations$xPolitical aspects$2fast$0http://id.worldcat.org/fast/fst00976908
9689953	X16	100	http://id.loc.gov/authorities/names/no2015010358	=100  1\$aVarkkey, Helena,$eauthor.$0http://id.loc.gov/authorities/names/no2015010358$0http://viaf.org/viaf/313500333
