bib_id	sequence	mrcfield	dz	rawfield
10000058	X16	100	http://id.loc.gov/authorities/names/no2001089080	=100  1\$aKurniawan, Eka,$d1975-$eauthor.$0http://id.loc.gov/authorities/names/no2001089080$0http://viaf.org/viaf/315193340
10000058	X16	100	http://viaf.org/viaf/315193340	=100  1\$aKurniawan, Eka,$d1975-$eauthor.$0http://id.loc.gov/authorities/names/no2001089080$0http://viaf.org/viaf/315193340
10000058	X30	650	http://id.loc.gov/authorities/subjects/sh2010109538	=650  \0$aRape$vFiction.$0http://id.loc.gov/authorities/subjects/sh2010109538
10000058	X31	651	http://id.loc.gov/authorities/subjects/sh2008115470	=651  \0$aIndonesia$vFiction.$0http://id.loc.gov/authorities/subjects/sh2008115470
10000058	X32	650	http://id.worldcat.org/fast/fst00968233	=650  \7$aImpotence.$2fast$0http://id.worldcat.org/fast/fst00968233
10000058	X33	650	http://id.worldcat.org/fast/fst01089970	=650  \7$aRape.$2fast$0http://id.worldcat.org/fast/fst01089970
10000058	X34	651	http://id.worldcat.org/fast/fst01209242	=651  \7$aIndonesia.$2fast$0http://id.worldcat.org/fast/fst01209242$0http://id.loc.gov/authorities/names/n80083633
10000058	X34	651	http://id.loc.gov/authorities/names/n80083633	=651  \7$aIndonesia.$2fast$0http://id.worldcat.org/fast/fst01209242$0http://id.loc.gov/authorities/names/n80083633
10000058	X35	655	http://id.worldcat.org/fast/fst01423787	=655  \7$aFiction.$2fast$0http://id.worldcat.org/fast/fst01423787
10000058	X36	700	http://id.loc.gov/authorities/names/no2015044411	=700  1\$aTucker, Annie,$etranslator.$0http://id.loc.gov/authorities/names/no2015044411$0http://viaf.org/viaf/315193402
10000058	X36	700	http://viaf.org/viaf/315193402	=700  1\$aTucker, Annie,$etranslator.$0http://id.loc.gov/authorities/names/no2015044411$0http://viaf.org/viaf/315193402
10000058	X37	700	http://viaf.org/viaf/315193340	=700  1\$iTranslation of:$aKurniawan, Eka,$d1975-$tSeperti dendam, rindu harus dibayar tuntas.$0http://viaf.org/viaf/315193340
10000058	X38	830	http://id.loc.gov/authorities/names/n84748631	=830  \0$aNew Directions paperbook.$0http://id.loc.gov/authorities/names/n84748631
10018529	X15	100	http://id.loc.gov/authorities/names/n93113099	=100  1\$aMortland, Carol A.$q(Carol Anne),$d1945-$eauthor.$0http://id.loc.gov/authorities/names/n93113099$0http://viaf.org/viaf/69101924
10018529	X15	100	http://viaf.org/viaf/69101924	=100  1\$aMortland, Carol A.$q(Carol Anne),$d1945-$eauthor.$0http://id.loc.gov/authorities/names/n93113099$0http://viaf.org/viaf/69101924
10018529	X25	650	http://id.loc.gov/authorities/subjects/sh2005003337	=650  \0$aBuddhists$zUnited States.$0http://id.loc.gov/authorities/subjects/sh2005003337
10018529	X27	650	http://id.worldcat.org/fast/fst00840028	=650  \7$aBuddhism.$2fast$0http://id.worldcat.org/fast/fst00840028
10018529	X28	650	http://id.worldcat.org/fast/fst00840320	=650  \7$aBuddhists.$2fast$0http://id.worldcat.org/fast/fst00840320
10018529	X29	650	http://id.worldcat.org/fast/fst00844659	=650  \7$aCambodian Americans$xReligion.$2fast$0http://id.worldcat.org/fast/fst00844659
10018529	X30	651	http://id.worldcat.org/fast/fst01207659	=651  \7$aCambodia.$2fast$0http://id.worldcat.org/fast/fst01207659$0http://id.loc.gov/authorities/names/n80014970
10018529	X30	651	http://id.loc.gov/authorities/names/n80014970	=651  \7$aCambodia.$2fast$0http://id.worldcat.org/fast/fst01207659$0http://id.loc.gov/authorities/names/n80014970
10018529	X31	651	http://id.worldcat.org/fast/fst01204155	=651  \7$aUnited States.$2fast$0http://id.worldcat.org/fast/fst01204155$0http://id.loc.gov/authorities/names/n78095330
10018529	X31	651	http://id.loc.gov/authorities/names/n78095330	=651  \7$aUnited States.$2fast$0http://id.worldcat.org/fast/fst01204155$0http://id.loc.gov/authorities/names/n78095330
10019985	X27	610	http://id.loc.gov/authorities/names/n90648829	=610  20$aWal-Mart (Firm)$xEmployees$xLabor unions$xOrganizing$zChile.$0http://id.loc.gov/authorities/names/n90648829$0http://viaf.org/viaf/128951275
10019985	X27	610	http://viaf.org/viaf/128951275	=610  20$aWal-Mart (Firm)$xEmployees$xLabor unions$xOrganizing$zChile.$0http://id.loc.gov/authorities/names/n90648829$0http://viaf.org/viaf/128951275
10020449	X15	110	http://id.loc.gov/authorities/names/n78096940	=110  2\$aArt Institute of Chicago,$ehost institution.$0http://id.loc.gov/authorities/names/n78096940$0http://viaf.org/viaf/131375374
10020449	X15	110	http://viaf.org/viaf/131375374	=110  2\$aArt Institute of Chicago,$ehost institution.$0http://id.loc.gov/authorities/names/n78096940$0http://viaf.org/viaf/131375374
10020449	X29	610	http://id.loc.gov/authorities/names/n78096940	=610  20$aArt Institute of Chicago$vExhibitions.$0http://id.loc.gov/authorities/names/n78096940$0http://viaf.org/viaf/131375374
10020449	X29	610	http://viaf.org/viaf/131375374	=610  20$aArt Institute of Chicago$vExhibitions.$0http://id.loc.gov/authorities/names/n78096940$0http://viaf.org/viaf/131375374
10020449	X30	600	http://id.loc.gov/authorities/names/n85279125	=600  10$aKipper, David A.,$d1939-2010$xArt collections$vExhibitions.$0http://id.loc.gov/authorities/names/n85279125$0http://viaf.org/viaf/35905513
